draw,date,n1,n2,n3,n4,n5,n6,bonus
1,2000-10-05,2,8,10,13,27,30,39
2,2000-10-12,1,9,16,20,21,43,5
3,2000-10-19,1,5,15,31,36,38,13
4,2000-10-26,16,18,26,27,34,40,13
5,2000-11-02,9,15,21,23,27,28,43
6,2000-11-09,6,12,23,25,28,38,22
7,2000-11-16,7,19,21,23,33,35,26
8,2000-11-23,11,16,18,20,42,43,28
9,2000-11-30,11,19,23,38,39,42,15
10,2000-12-07,1,3,19,21,35,39,26
11,2000-12-14,12,26,32,37,40,42,16
12,2000-12-21,14,17,27,28,35,39,22
13,2000-12-28,13,29,31,37,41,42,17
14,2001-01-04,2,8,11,35,37,38,43
15,2001-01-11,4,6,11,20,21,28,36
16,2001-01-18,5,12,13,29,34,35,30
17,2001-01-25,14,20,25,34,35,36,11
18,2001-02-01,6,16,18,27,36,41,33
19,2001-02-08,4,8,12,30,33,43,14
20,2001-02-15,7,29,33,35,37,39,19
21,2001-02-22,5,7,13,19,38,41,42
22,2001-03-01,8,12,16,19,20,35,41
23,2001-03-08,7,10,28,32,33,40,13
24,2001-03-15,15,18,19,30,36,38,13
25,2001-03-22,11,32,34,37,40,43,8
26,2001-03-29,3,4,11,12,13,43,22
27,2001-04-05,4,8,20,30,33,38,10
28,2001-04-12,6,11,15,20,31,41,7
29,2001-04-19,8,12,20,35,37,40,33
30,2001-04-26,4,16,17,19,26,37,8
31,2001-05-03,7,18,22,25,28,43,4
32,2001-05-10,3,6,7,23,29,41,33
33,2001-05-17,8,17,22,25,29,41,13
34,2001-05-24,2,20,25,30,37,40,10
35,2001-05-31,3,5,13,30,32,41,28
36,2001-06-07,1,16,20,23,30,40,17
37,2001-06-14,3,5,9,17,21,41,26
38,2001-06-21,2,9,26,27,34,43,42
39,2001-06-28,10,18,22,25,39,42,17
40,2001-07-05,5,17,25,34,38,39,2
41,2001-07-12,18,21,27,33,36,38,23
42,2001-07-19,4,15,21,24,33,37,9
43,2001-07-26,1,2,3,15,24,26,27
44,2001-08-02,3,16,24,31,34,42,36
45,2001-08-09,7,9,28,32,36,38,8
46,2001-08-16,11,14,21,24,25,42,41
47,2001-08-23,3,11,14,25,27,31,22
48,2001-08-30,2,5,28,30,33,40,26
49,2001-09-06,2,13,21,31,32,41,35
50,2001-09-13,5,13,15,25,27,39,40
51,2001-09-20,7,15,24,37,38,41,34
52,2001-09-27,1,16,24,25,36,42,21
53,2001-10-04,2,15,23,37,40,43,25
54,2001-10-11,14,25,26,31,37,42,7
55,2001-10-18,11,12,13,14,37,39,28
56,2001-10-25,10,13,25,31,32,42,40
57,2001-11-01,2,14,22,27,35,42,34
58,2001-11-08,4,8,9,13,16,25,28
59,2001-11-15,9,15,17,30,32,41,31
60,2001-11-22,20,21,23,28,30,42,29
61,2001-11-29,4,8,22,25,27,28,6
62,2001-12-06,2,3,9,12,15,30,42
63,2001-12-13,11,16,20,28,34,40,22
64,2001-12-20,2,14,19,22,32,41,9
65,2001-12-27,2,10,22,23,31,43,28
66,2002-01-10,7,15,17,30,33,35,14
67,2002-01-17,1,4,6,11,18,25,3
68,2002-01-24,16,23,30,35,37,39,38
69,2002-01-31,1,9,31,35,40,41,14
70,2002-02-07,6,11,20,23,24,31,17
71,2002-02-14,1,10,11,13,19,20,3
72,2002-02-21,10,12,24,29,33,37,34
73,2002-02-28,1,6,15,19,27,36,25
74,2002-03-07,3,14,27,28,40,43,39
75,2002-03-14,2,4,9,19,23,31,18
76,2002-03-21,1,10,12,16,20,35,29
77,2002-03-28,5,10,15,28,37,38,13
78,2002-04-04,5,14,23,32,33,43,37
79,2002-04-11,20,22,27,32,36,43,23
80,2002-04-18,1,4,12,16,19,34,18
81,2002-04-25,1,11,15,23,26,27,41
82,2002-05-02,10,12,19,25,26,39,28
83,2002-05-09,1,16,21,28,35,37,30
84,2002-05-16,17,19,26,28,35,37,40
