区分ID,ブロックID,ブロック名,区分名,集計列ID,表示順,有効,旧転記名,元列
1,1,区分,申込関係,3,1,1,,C
2,1,区分,受注,3,2,1,受注,D
3,1,区分,抽選結果,4,3,1,,E
4,1,区分,払込用紙・再発行・可,5,4,1,払込用紙再発行（可）,F
5,1,区分,払込用紙・再発行・不可,5,5,1,払込用紙再発行（不可）,G
6,1,区分,払込用紙・内容等・照会,5,6,1,払込用紙内容照会,H
7,1,区分,払込用紙・発送状況・照会,5,7,1,払込用紙発送状況,I
8,1,区分,入金関係,7,8,1,入金関係,J
9,1,区分,商品発送照会・問合せ,6,9,1,商品発送問合せ,K
10,1,区分,商品発送照会・未着,6,10,1,商品発送受領照会,L
11,1,区分,製品交換,8,11,1,製品交換,M
12,2,その他,販売予定,7,1,1,販売予定,C
13,2,その他,製品内容,7,2,1,製品内容,D
14,2,その他,在庫照会,7,3,1,在庫照会,E
15,2,その他,価格照会,7,4,1,価格照会,F
16,2,その他,内容問合せ,7,5,0,内容問合せ,G
17,2,その他,組込みミス交換,7,6,0,組込みミス交換,H
18,2,その他,その他交換,7,7,0,その他交換,I
19,2,その他,（未使用8）,7,8,0,,J
20,2,その他,（未使用9）,7,9,0,,K
21,2,その他,（未使用10）,7,10,0,,L
22,2,その他,（未使用11）,7,11,0,,M
23,3,顧客情報,ＤＭ停止等・死亡,7,1,1,ＤＭ停止(①死亡),C
24,3,顧客情報,ＤＭ停止等・病気等,7,2,1,ＤＭ停止(②病気等),D
25,3,顧客情報,ＤＭ停止等・種類多い,7,3,1,ＤＭ停止(③種類多い),E
26,3,顧客情報,ＤＭ停止等・特定商品のみ,7,4,1,ＤＭ停止(④特定商品のみ),F
27,3,顧客情報,ＤＭ停止等・理由なし,7,5,1,ＤＭ停止(⑤理由なし),G
28,3,顧客情報,ＤＭ再開・宛名人変更,7,6,1,ＤＭ再開・宛名人変更,H
29,3,顧客情報,ＤＭ確認,7,7,1,ＤＭ確認,I
30,3,顧客情報,住所変更,7,8,1,住所変更,J
31,3,顧客情報,新規登録,7,9,1,新規登録,K
32,3,顧客情報,資料送付,7,10,1,資料送付,L
33,3,顧客情報,購入履歴,7,11,1,購入履歴,M
34,4,イベント関係,お金と切手,7,1,1,イベント関係（お金と切手）,C
35,4,イベント関係,宇佐神宮,7,2,1,イベント関係（造幣局 ＩＮ）,D
36,4,イベント関係,桜の通り抜け,7,3,1,イベント関係（桜の通り抜け）,E
37,4,イベント関係,花のまわり道,7,4,1,イベント関係（まわり道）,F
38,4,イベント関係,ＴＩＣＣ,7,5,1,イベント関係（TICC）,G
39,4,イベント関係,国体,7,6,1,イベント関係（国体）,H
40,4,イベント関係,大阪コインショー,7,7,1,イベント関係（大阪コイン）,I
41,4,イベント関係,さいたまフェア,7,8,1,イベント関係（さいたまフェア）,J
42,4,イベント関係,佐伯区民まつり,7,9,1,イベント関係（名古屋貨幣まつり）,K
43,4,イベント関係,観桜会,7,10,1,イベント関係（観桜会の電話転送）,L
44,4,イベント関係,アンケート,7,11,1,イベント関係（予備）,M
45,5,その他のその他①,オンライン登録関係,7,1,1,オンライン登録関係,C
46,5,その他のその他①,クレジット関係,7,2,1,クレジット関係,D
47,5,その他のその他①,金工品Ｇ関係,7,3,1,金工品Ｇへ電話転送,E
48,5,その他のその他①,広報（工場見学含む）,7,4,1,広報室（工場見学含む）,F
49,5,その他のその他①,ミントショップ案内,7,5,1,ミントショップ案内,G
50,5,その他のその他①,金工品懇談会,7,6,1,桜サポート,H
51,5,その他のその他①,流通貨幣関係,7,7,1,流通貨幣関係,I
52,5,その他のその他①,紙幣関係,7,8,1,紙幣関係,J
53,5,その他のその他①,ミントクラブ関係,7,9,1,ミントクラブ関係,K
54,5,その他のその他①,1円ぬいぐるみ,7,10,1,1円ぬいぐるみ,L
55,5,その他のその他①,記念貨引換関係,7,11,1,記念貨引換関係,M
56,6,その他のその他②,返 品,7,1,1,返品,C
57,6,その他のその他②,返 金,7,2,1,返金,D
58,6,その他のその他②,（未使用3）,7,3,0,,E
59,6,その他のその他②,（未使用4）,7,4,0,,F
60,6,その他のその他②,（未使用5）,7,5,0,,G
61,6,その他のその他②,貨幣ｾｯﾄ処分関係,7,6,1,貨幣ｾｯﾄ処分関係,H
62,6,その他のその他②,貨幣洗浄方法,7,7,1,貨幣洗浄方法,I
63,6,その他のその他②,名称未確定製品予定,7,8,1,名称未確定製品,J
64,6,その他のその他②,業者販売関係,7,9,1,業者販売関係,K
65,6,その他のその他②,抽選倍率等(過去）,7,10,1,抽選倍率等,L
66,6,その他のその他②,（未使用11）,7,11,0,,M
67,7,特殊な問合せ,別添のとおり,7,1,1,特殊な問合せ,G62
68,7,特殊な問合せ,下記のとおり（別添不要）,7,2,1,特殊な問合せ,G63
