製品ID,ブロックID,製品名,表示順,有効,元セル
1,1,ミント,1,1,A6
2,1,通常プルーフ,2,1,A7
3,1,通年（記念日・ジャパン）,3,1,A8
4,1,国立公園記念貨,4,1,A9
5,1,ドラゴンプルーフ・貨幣セット,5,1,A10
6,1,鳥獣人物戯画貨幣セット,6,1,A11
7,1,ＩＣＤＣメダル,7,1,A12
8,1,桜の通り抜けプルーフ,8,1,A13
9,1,桜の通り抜け貨幣セット,9,1,A14
10,1,花のまわりみち貨幣セット,10,1,A15
11,1,桜の通り抜け記念メダル,11,1,A16
12,1,純金メダル-星座-,12,1,A17
13,1,国宝章牌「鳥獣人物戯画」,13,1,A18
14,1,干支メダル,14,1,A19
15,1,アジア大会記念貨,15,1,A20
16,1,コナンプルーフ・貨幣セット,16,1,A21
17,1,昭和100年記念貨幣,17,1,A22
18,1,七宝章牌「長浜曳山祭」,18,1,A23
19,1,（予備19）,19,0,A24
20,1,（予備20）,20,0,A25
21,1,（予備21）,21,0,A26
22,1,（予備22）,22,0,A27
23,1,（予備23）,23,0,A28
24,2,オリンピック記念貨(過去）,1,1,A32
25,2,皇室関係記念貨(過去),2,1,A33
26,2,ミント,3,1,A34
27,2,通常プルーフ,4,1,A35
28,2,通年（記念日・ジャパン）,5,1,A36
29,2,世界文化遺産セット,6,1,A37
30,2,ＩＣＤＣメダル,7,1,A38
31,2,干支メダル,8,1,A39
32,2,純金メダル-星座-,9,1,A40
33,2,万博記念貨,10,1,A41
34,2,国立公園記念貨,11,1,A42
35,2,万博メダル(過去）,12,1,A43
36,2,世界陸上プルーフ貨幣セット,13,1,A44
37,2,鳥獣人物戯画ケース,14,1,A45
38,2,地方自治千円銀貨幣,15,1,A46
39,2,（予備16）,16,0,A47
40,2,（予備17）,17,0,A48
41,2,（予備18）,18,0,A49
42,2,（予備19）,19,0,A50
43,2,（予備20）,20,0,A51
44,2,（予備21）,21,0,A52
